date,fund,growth
2021-09-17,Combined Maximum-Sharpe (base),1.6930694577524315
2021-09-20,Combined Maximum-Sharpe (base),1.659611301846535
2021-09-21,Combined Maximum-Sharpe (base),1.6482891158188449
2021-09-22,Combined Maximum-Sharpe (base),1.6697671173979716
2021-09-23,Combined Maximum-Sharpe (base),1.6808390832136269
2021-09-24,Combined Maximum-Sharpe (base),1.6678628587386284
2021-09-27,Combined Maximum-Sharpe (base),1.6582100680199148
2021-09-28,Combined Maximum-Sharpe (base),1.646184220181215
2021-09-29,Combined Maximum-Sharpe (base),1.6492773500576063
2021-09-30,Combined Maximum-Sharpe (base),1.6291774179251883
2021-10-01,Combined Maximum-Sharpe (base),1.6450083227763137
2021-10-04,Combined Maximum-Sharpe (base),1.632782979938213
2021-10-05,Combined Maximum-Sharpe (base),1.6445511090862337
2021-10-06,Combined Maximum-Sharpe (base),1.6592171129134201
2021-10-07,Combined Maximum-Sharpe (base),1.665617331819601
2021-10-08,Combined Maximum-Sharpe (base),1.6649138003573558
2021-10-11,Combined Maximum-Sharpe (base),1.6591272316328527
2021-10-12,Combined Maximum-Sharpe (base),1.6767538064113099
2021-10-13,Combined Maximum-Sharpe (base),1.6959748616250245
2021-10-14,Combined Maximum-Sharpe (base),1.7302555926131165
2021-10-15,Combined Maximum-Sharpe (base),1.7261264772593705
2021-10-18,Combined Maximum-Sharpe (base),1.7350938266578129
2021-10-19,Combined Maximum-Sharpe (base),1.735893172099651
2021-10-20,Combined Maximum-Sharpe (base),1.7424367378587542
2021-10-21,Combined Maximum-Sharpe (base),1.734863871372054
2021-10-22,Combined Maximum-Sharpe (base),1.7547937051517442
2021-10-25,Combined Maximum-Sharpe (base),1.7712089516720044
2021-10-26,Combined Maximum-Sharpe (base),1.7848568367867874
2021-10-27,Combined Maximum-Sharpe (base),1.7426197704253528
2021-10-28,Combined Maximum-Sharpe (base),1.7828968796467588
2021-10-29,Combined Maximum-Sharpe (base),1.7903805662239531
2021-11-01,Combined Maximum-Sharpe (base),1.8006871625426595
2021-11-02,Combined Maximum-Sharpe (base),1.8196423147148821
2021-11-03,Combined Maximum-Sharpe (base),1.8120843946094793
2021-11-04,Combined Maximum-Sharpe (base),1.820120416420404
2021-11-05,Combined Maximum-Sharpe (base),1.7847582673422144
2021-11-08,Combined Maximum-Sharpe (base),1.8070645127918512
2021-11-09,Combined Maximum-Sharpe (base),1.8070184992118772
2021-11-10,Combined Maximum-Sharpe (base),1.7916216455810479
2021-11-11,Combined Maximum-Sharpe (base),1.80580923326657
2021-11-12,Combined Maximum-Sharpe (base),1.8098658268066707
2021-11-15,Combined Maximum-Sharpe (base),1.8124220286874246
2021-11-16,Combined Maximum-Sharpe (base),1.8003870242205093
2021-11-17,Combined Maximum-Sharpe (base),1.7895336946052665
2021-11-18,Combined Maximum-Sharpe (base),1.80251455842048
2021-11-19,Combined Maximum-Sharpe (base),1.785303977188793
2021-11-22,Combined Maximum-Sharpe (base),1.7868548825835235
2021-11-23,Combined Maximum-Sharpe (base),1.8066651256076722
2021-11-24,Combined Maximum-Sharpe (base),1.8158438787972897
2021-11-26,Combined Maximum-Sharpe (base),1.7594340747160613
2021-11-29,Combined Maximum-Sharpe (base),1.7800261765123464
2021-11-30,Combined Maximum-Sharpe (base),1.751261707053894
2021-12-01,Combined Maximum-Sharpe (base),1.733130847583867
2021-12-02,Combined Maximum-Sharpe (base),1.7816129138954582
2021-12-03,Combined Maximum-Sharpe (base),1.7641601875622028
2021-12-06,Combined Maximum-Sharpe (base),1.7790114039946046
2021-12-07,Combined Maximum-Sharpe (base),1.8132614839294792
2021-12-08,Combined Maximum-Sharpe (base),1.8117787833389507
2021-12-09,Combined Maximum-Sharpe (base),1.7939406969487062
2021-12-10,Combined Maximum-Sharpe (base),1.801554050643627
2021-12-13,Combined Maximum-Sharpe (base),1.787163982306625
2021-12-14,Combined Maximum-Sharpe (base),1.7888066470558133
2021-12-15,Combined Maximum-Sharpe (base),1.8280794065037107
2021-12-16,Combined Maximum-Sharpe (base),1.8265572429279144
2021-12-17,Combined Maximum-Sharpe (base),1.7984175637489515
2021-12-20,Combined Maximum-Sharpe (base),1.792752032840755
2021-12-21,Combined Maximum-Sharpe (base),1.8083802960368096
2021-12-22,Combined Maximum-Sharpe (base),1.826228817490191
2021-12-23,Combined Maximum-Sharpe (base),1.8307135780581105
2021-12-27,Combined Maximum-Sharpe (base),1.8676693854790065
2021-12-28,Combined Maximum-Sharpe (base),1.8603874432266876
2021-12-29,Combined Maximum-Sharpe (base),1.8609997236776354
2021-12-30,Combined Maximum-Sharpe (base),1.8553713709568092
2021-12-31,Combined Maximum-Sharpe (base),1.853840167212398
2022-01-03,Combined Maximum-Sharpe (base),1.8522005958071586
2022-01-04,Combined Maximum-Sharpe (base),1.855876076565516
2022-01-05,Combined Maximum-Sharpe (base),1.8374306289052056
2022-01-06,Combined Maximum-Sharpe (base),1.8463265254573158
2022-01-07,Combined Maximum-Sharpe (base),1.819430713575885
2022-01-10,Combined Maximum-Sharpe (base),1.8253709720446352
2022-01-11,Combined Maximum-Sharpe (base),1.8408330534913575
2022-01-12,Combined Maximum-Sharpe (base),1.8603415206708993
2022-01-13,Combined Maximum-Sharpe (base),1.8353879077232942
2022-01-14,Combined Maximum-Sharpe (base),1.838854200210994
2022-01-18,Combined Maximum-Sharpe (base),1.8178115934342987
2022-01-19,Combined Maximum-Sharpe (base),1.796568087764097
2022-01-20,Combined Maximum-Sharpe (base),1.7669381426534565
2022-01-21,Combined Maximum-Sharpe (base),1.744929097958929
2022-01-24,Combined Maximum-Sharpe (base),1.7402744155452756
2022-01-25,Combined Maximum-Sharpe (base),1.7404556974590315
2022-01-26,Combined Maximum-Sharpe (base),1.726423224609103
2022-01-27,Combined Maximum-Sharpe (base),1.7222801969456196
2022-01-28,Combined Maximum-Sharpe (base),1.7796248435919846
2022-01-31,Combined Maximum-Sharpe (base),1.7921696968365566
2022-02-01,Combined Maximum-Sharpe (base),1.8013117020608407
2022-02-02,Combined Maximum-Sharpe (base),1.8503596785025207
2022-02-03,Combined Maximum-Sharpe (base),1.8368411388783092
2022-02-04,Combined Maximum-Sharpe (base),1.8333079877180147
2022-02-07,Combined Maximum-Sharpe (base),1.845635634898399
2022-02-08,Combined Maximum-Sharpe (base),1.8492837946014127
2022-02-09,Combined Maximum-Sharpe (base),1.8861309988429256
2022-02-10,Combined Maximum-Sharpe (base),1.8534788882629147
2022-02-11,Combined Maximum-Sharpe (base),1.8417784879279846
2022-02-14,Combined Maximum-Sharpe (base),1.8280214605819265
2022-02-15,Combined Maximum-Sharpe (base),1.8321287151587196
2022-02-16,Combined Maximum-Sharpe (base),1.8347095443632413
2022-02-17,Combined Maximum-Sharpe (base),1.8058281913248457
2022-02-18,Combined Maximum-Sharpe (base),1.7900204460241609
2022-02-22,Combined Maximum-Sharpe (base),1.7788162220820536
2022-02-23,Combined Maximum-Sharpe (base),1.7991731229689618
