date,ticker,weight,fund
2021-04-01,AEP_EQ,0.12477021375481485,Combined Minimum-Variance
2021-04-01,AMD_EQ,-0.002339358591674101,Combined Minimum-Variance
2021-04-01,AMGN_EQ,-0.025358621369610198,Combined Minimum-Variance
2021-04-01,AMT_EQ,-0.08262826484383572,Combined Minimum-Variance
2021-04-01,BA_EQ,-0.02136709194833721,Combined Minimum-Variance
2021-04-01,CAT_EQ,0.030524284210573686,Combined Minimum-Variance
2021-04-01,CCI_EQ,0.04348320369079915,Combined Minimum-Variance
2021-04-01,CMCSA_EQ,-0.04914804570009856,Combined Minimum-Variance
2021-04-01,COP_EQ,0.01779690715608819,Combined Minimum-Variance
2021-04-01,CVX_EQ,-0.020532739502372006,Combined Minimum-Variance
2021-04-01,D_EQ,0.08133848292924348,Combined Minimum-Variance
2021-04-01,DD_EQ,0.029841218553594645,Combined Minimum-Variance
2021-04-01,DIS_EQ,0.036497654480074714,Combined Minimum-Variance
2021-04-01,DOW_EQ,-0.07119321428598863,Combined Minimum-Variance
2021-04-01,DUK_EQ,0.005957749113198545,Combined Minimum-Variance
2021-04-01,EA_EQ,0.09418779403310827,Combined Minimum-Variance
2021-04-01,GE_EQ,0.008282806230193581,Combined Minimum-Variance
2021-04-01,GILD_EQ,0.04881705857940838,Combined Minimum-Variance
2021-04-01,GS_EQ,0.0445907299575379,Combined Minimum-Variance
2021-04-01,INTC_EQ,-0.002535569957950626,Combined Minimum-Variance
2021-04-01,KO_EQ,-0.04174788322199462,Combined Minimum-Variance
2021-04-01,MMM_EQ,0.1885664711518486,Combined Minimum-Variance
2021-04-01,MRK_EQ,0.10713900532497878,Combined Minimum-Variance
2021-04-01,MS_EQ,-0.05194734990899041,Combined Minimum-Variance
2021-04-01,NEE_EQ,-0.034246561990578496,Combined Minimum-Variance
2021-04-01,NEM_EQ,0.006925187648266963,Combined Minimum-Variance
2021-04-01,NKE_EQ,0.02864018752650162,Combined Minimum-Variance
2021-04-01,NUE_EQ,-0.026695050818592497,Combined Minimum-Variance
2021-04-01,NVDA_EQ,-0.11792556361312889,Combined Minimum-Variance
2021-04-01,O_EQ,0.01440908942702773,Combined Minimum-Variance
2021-04-01,OXY_EQ,-0.04331459742092026,Combined Minimum-Variance
2021-04-01,PLD_EQ,-0.06685215862261018,Combined Minimum-Variance
2021-04-01,PSA_EQ,0.11590853972452016,Combined Minimum-Variance
2021-04-01,QCOM_EQ,0.01747498095291653,Combined Minimum-Variance
2021-04-01,SBUX_EQ,0.07014512534148828,Combined Minimum-Variance
2021-04-01,SHW_EQ,-0.0531435551590384,Combined Minimum-Variance
2021-04-01,SLB_EQ,0.017649298525939393,Combined Minimum-Variance
2021-04-01,SO_EQ,-0.10702101604465213,Combined Minimum-Variance
2021-04-01,T_EQ,0.10778006610154368,Combined Minimum-Variance
2021-04-01,TMUS_EQ,0.0008254528047944581,Combined Minimum-Variance
2021-04-01,TTWO_EQ,0.14099639145586723,Combined Minimum-Variance
2021-04-01,UPS_EQ,-0.016177082570283087,Combined Minimum-Variance
2021-04-01,USB_EQ,-0.036511953502621944,Combined Minimum-Variance
2021-04-01,V_EQ,-0.012487723978289839,Combined Minimum-Variance
2021-04-01,WFC_EQ,0.031959870030670696,Combined Minimum-Variance
2021-04-01,WMT_EQ,0.24868394089925258,Combined Minimum-Variance
2021-04-01,XOM_EQ,0.05400663109435649,Combined Minimum-Variance
2021-04-01,ADA-USD_CR,0.018583833015282256,Combined Minimum-Variance
2021-04-01,BCH-USD_CR,0.01537777541077188,Combined Minimum-Variance
2021-04-01,BTC-USD_CR,0.093693904581164,Combined Minimum-Variance
2021-04-01,EOS-USD_CR,-0.007977496589211618,Combined Minimum-Variance
2021-04-01,ETC-USD_CR,0.026018537274330057,Combined Minimum-Variance
2021-04-01,ETH-USD_CR,-0.09206613288528806,Combined Minimum-Variance
2021-04-01,LTC-USD_CR,-0.03609043108844538,Combined Minimum-Variance
2021-04-01,TRX-USD_CR,0.026050328989851025,Combined Minimum-Variance
2021-04-01,XLM-USD_CR,-0.014743946129604212,Combined Minimum-Variance
2021-04-01,XRP-USD_CR,0.005895496538860137,Combined Minimum-Variance
2021-05-03,ABBV_EQ,0.09836015321456767,Combined Minimum-Variance
2021-05-03,ABT_EQ,-0.0209004260573404,Combined Minimum-Variance
2021-05-03,ADBE_EQ,0.06926501725393806,Combined Minimum-Variance
2021-05-03,AEP_EQ,0.13964292851023472,Combined Minimum-Variance
2021-05-03,AMD_EQ,0.013861660728526407,Combined Minimum-Variance
2021-05-03,AMGN_EQ,-0.06996503553014394,Combined Minimum-Variance
2021-05-03,AMT_EQ,-0.06908616167973354,Combined Minimum-Variance
2021-05-03,BA_EQ,-0.06484072540089564,Combined Minimum-Variance
2021-05-03,CAT_EQ,0.03157597345057685,Combined Minimum-Variance
2021-05-03,CCI_EQ,0.04886013458661425,Combined Minimum-Variance
2021-05-03,CMCSA_EQ,-0.026147654274159042,Combined Minimum-Variance
2021-05-03,COP_EQ,0.04174397044208051,Combined Minimum-Variance
2021-05-03,CVX_EQ,0.037366551003699025,Combined Minimum-Variance
