ticker,date,sector,n_headlines,vader_mean
AMD,2022-06-29,Tech,5,0.08078
AMD,2022-06-30,Tech,9,0.00667777777777777
AMD,2022-07-01,Tech,7,-0.11252857142857142
AMD,2022-07-05,Tech,9,0.3472555555555556
AMD,2022-07-06,Tech,5,0.19774000000000003
AMD,2022-07-07,Tech,7,0.21638571428571426
AMD,2022-07-08,Tech,2,0.0
AMD,2022-07-11,Tech,5,0.29862
AMD,2022-07-12,Tech,7,0.06374285714285714
AMD,2022-07-13,Tech,7,0.07292857142857144
AMD,2022-07-14,Tech,8,0.010437500000000002
AMD,2022-07-15,Tech,2,0.2883
AMD,2022-07-18,Tech,8,0.194825
AMD,2022-07-19,Tech,10,0.13827000000000003
AMD,2022-07-20,Tech,8,0.259525
AMD,2022-07-21,Tech,7,0.1267
AMD,2022-07-22,Tech,9,0.22526666666666667
AMD,2022-07-25,Tech,11,0.2186
AMD,2022-07-26,Tech,4,0.0625
AMD,2022-07-27,Tech,4,0.1365
AMD,2022-07-28,Tech,8,0.06825
AMD,2022-07-29,Tech,9,0.26567777777777773
AMD,2022-08-01,Tech,9,0.21406666666666668
AMD,2022-08-02,Tech,21,0.11792380952380951
AMD,2022-08-03,Tech,14,0.27003571428571427
AMD,2022-08-04,Tech,8,0.1004
AMD,2022-08-05,Tech,5,0.1092
AMD,2022-08-08,Tech,10,0.2448
AMD,2022-08-09,Tech,13,0.010423076923076945
AMD,2022-08-10,Tech,7,0.058199999999999995
AMD,2022-08-11,Tech,7,0.28659999999999997
AMD,2022-08-12,Tech,4,0.5031
AMD,2022-08-15,Tech,7,0.03474285714285713
AMD,2022-08-16,Tech,5,0.19402
AMD,2022-08-17,Tech,3,-0.3080333333333333
AMD,2022-08-18,Tech,2,0.0
AMD,2022-08-19,Tech,2,-0.019500000000000017
AMD,2022-08-22,Tech,7,0.16505714285714285
AMD,2022-08-23,Tech,2,0.2294
AMD,2022-08-24,Tech,2,0.33575
AMD,2022-08-25,Tech,6,0.20160000000000003
AMD,2022-08-26,Tech,5,0.10629999999999999
AMD,2022-08-29,Tech,5,0.13648
AMD,2022-08-30,Tech,5,0.17515999999999998
AMD,2022-08-31,Tech,6,0.13786666666666667
AMD,2022-09-01,Tech,28,-0.11412857142857143
AMD,2022-09-02,Tech,7,0.2403142857142857
AMD,2022-09-06,Tech,8,0.14277499999999999
AMD,2022-09-07,Tech,4,0.13419999999999999
AMD,2022-09-08,Tech,8,0.1533625
AMD,2022-09-09,Tech,5,0.33006
AMD,2022-09-12,Tech,8,0.1977625
AMD,2022-09-13,Tech,4,-0.1223
AMD,2022-09-14,Tech,4,0.125
AMD,2022-09-15,Tech,4,0.20690000000000003
AMD,2022-09-16,Tech,2,-0.03620000000000001
AMD,2022-09-19,Tech,4,0.143175
AMD,2022-09-20,Tech,3,0.0031666666666666696
AMD,2022-09-21,Tech,3,0.20373333333333332
AMD,2022-09-22,Tech,4,0.080125
AMD,2022-09-23,Tech,2,-0.3062
AMD,2022-09-26,Tech,4,0.299475
AMD,2022-09-27,Tech,7,0.2742428571428571
AMD,2022-09-28,Tech,10,0.0528
AMD,2022-09-29,Tech,12,0.09391666666666665
AMD,2022-09-30,Tech,2,-0.37125
AMD,2022-10-03,Tech,6,0.5235833333333334
AMD,2022-10-04,Tech,3,0.42763333333333337
AMD,2022-10-05,Tech,8,0.1590625
AMD,2022-10-06,Tech,6,-0.03268333333333332
AMD,2022-10-07,Tech,38,0.016710526315789464
AMD,2022-10-10,Tech,11,-0.10714545454545456
AMD,2022-10-11,Tech,4,0.1365
AMD,2022-10-12,Tech,9,-0.034266666666666654
AMD,2022-10-13,Tech,7,0.13502857142857144
AMD,2022-10-14,Tech,2,0.2288
AMD,2022-10-17,Tech,5,0.1719
AMD,2022-10-18,Tech,6,0.12949999999999998
AMD,2022-10-19,Tech,4,0.013774999999999982
AMD,2022-10-20,Tech,8,0.303925
AMD,2022-10-21,Tech,5,0.2413
AMD,2022-10-24,Tech,6,0.026750000000000006
AMD,2022-10-25,Tech,5,-0.21222000000000002
AMD,2022-10-26,Tech,1,0.7269
AMD,2022-10-27,Tech,9,-0.03559999999999999
AMD,2022-10-28,Tech,3,0.07076666666666666
AMD,2022-10-31,Tech,8,0.01471249999999999
